TransactionNo,Items,DateTime,Daypart,DayType,User,Rating,Description,Category
1,Bread,2016-10-30 09:58:11,Morning,Weekend,Gloria,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,Louise,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,Daniel,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend,Shannon,4,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
3,Jam,2016-10-30 10:07:57,Morning,Weekend,Manuel,3,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
3,Cookies,2016-10-30 10:07:57,Morning,Weekend,Drew,0,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread.",Pure Veg
4,Muffin,2016-10-30 10:08:41,Morning,Weekend,Karla,2,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
5,Coffee,2016-10-30 10:13:03,Morning,Weekend,Megan,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
5,Pastry,2016-10-30 10:13:03,Morning,Weekend,Roger,3,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
5,Bread,2016-10-30 10:13:03,Morning,Weekend,Virginia,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
6,Medialuna,2016-10-30 10:16:55,Morning,Weekend,Lauren,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
6,Pastry,2016-10-30 10:16:55,Morning,Weekend,Vernon,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
6,Muffin,2016-10-30 10:16:55,Morning,Weekend,Ricky,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
7,Medialuna,2016-10-30 10:19:12,Morning,Weekend,Becky,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
7,Pastry,2016-10-30 10:19:12,Morning,Weekend,Marvin,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
7,Coffee,2016-10-30 10:19:12,Morning,Weekend,Raymond,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
7,Tea,2016-10-30 10:19:12,Morning,Weekend,Jackson,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
8,Pastry,2016-10-30 10:20:51,Morning,Weekend,Alicia,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
8,Bread,2016-10-30 10:20:51,Morning,Weekend,Sheila,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
9,Bread,2016-10-30 10:21:59,Morning,Weekend,Brenda,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
9,Muffin,2016-10-30 10:21:59,Morning,Weekend,Stefan,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend,Shaun,4,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
10,Medialuna,2016-10-30 10:25:58,Morning,Weekend,Jack,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
11,Bread,2016-10-30 10:27:21,Morning,Weekend,Harry,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
11,Medialuna,2016-10-30 10:27:21,Morning,Weekend,Joanna,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
11,Bread,2016-10-30 10:27:21,Morning,Weekend,Shawn,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
12,Jam,2016-10-30 10:30:14,Morning,Weekend,Eddie,4,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
12,Coffee,2016-10-30 10:30:14,Morning,Weekend,Daisy,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
12,Tartine,2016-10-30 10:30:14,Morning,Weekend,Caleb,5,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack.",Sandwiches
12,Pastry,2016-10-30 10:30:14,Morning,Weekend,Abigail,1,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
12,Tea,2016-10-30 10:30:14,Morning,Weekend,Derek,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
13,Basket,2016-10-30 10:31:24,Morning,Weekend,Alan,0,"Edible baskets made from cake or pastry dough, filled with fruits, creams, or other confections.",Pure Veg
13,Bread,2016-10-30 10:31:24,Morning,Weekend,Florence,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
13,Coffee,2016-10-30 10:31:24,Morning,Weekend,Irene,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
14,Bread,2016-10-30 10:32:46,Morning,Weekend,Marcus,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
14,Medialuna,2016-10-30 10:32:46,Morning,Weekend,Cecilia,0,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
14,Pastry,2016-10-30 10:32:46,Morning,Weekend,Rachel,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
15,Mineral water,2016-10-30 10:34:36,Morning,Weekend,Mitchell,0,A refreshing beverage often served alongside cakes to cleanse the palate and provide hydration.,Beverages
15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend,Angelina,4,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
16,Bread,2016-10-30 10:37:08,Morning,Weekend,Derek,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
16,Medialuna,2016-10-30 10:37:08,Morning,Weekend,Gene,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
16,Coffee,2016-10-30 10:37:08,Morning,Weekend,Natasha,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend,Sidney,0,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
18,Farm House,2016-10-30 10:41:56,Morning,Weekend,Aaron,1,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
19,Farm House,2016-10-30 10:43:08,Morning,Weekend,Gordon,3,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
19,Bread,2016-10-30 10:43:08,Morning,Weekend,Chris,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
20,Bread,2016-10-30 10:45:22,Morning,Weekend,Evelyn,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
